title,artist,liked_date
"Sajde (From ""Lost;Found"")",Faheem Abdullah,2026-02-24
TUTOR,Gurj Sidhu,2026-02-22
Pardes Katenda,Adnan Dhool,2026-02-21
Ae Yaad,Faheem Abdullah,2025-12-08
Plain Sight,ansh,2025-12-08
Cry In My Arms,Southstar,2025-12-08
Meantime - ansh,ansh,2025-12-08
指髪 - チョーキューメイ Covered by 理芽 / RIM,RIM,2025-12-02
アルビレオ - Albireo,Rokudenashi,2025-11-20
Deewane (feat. Bir),Navaan Sandhu,2025-11-15
Dil Tarse,Arslan Nizami,2025-11-11
Arz Kiya Hai | Coke Studio Bharat,Anuv Jain,2025-11-11
"ギターと孤独と蒼い惑星 - Guitar, Loneliness and Blue Planet",kessoku band,2025-11-01
ツバサ - Tsubasa,Nanahoshi (CV:Shion Wakayama),2025-10-27
悲しくて lulululu -ハーサカver.- - Kanashikute lulululu -Hayasaka Version-,Keiki Nishida,2025-10-24
Humdum,Vishal Mishra,2025-10-07
Kho Gaye,Taaruk Raina & Mismatched - Cast,2025-10-04
Ehsaas,Faheem Abdullah,2025-10-04
